# Grammatical Features
#Locale	ID	Feature	Usage	Values
Slovenian	sl	grammaticalCase	general	nominative, accusative, genitive, locative, dative, instrumental
Slovenian	sl	grammaticalGender	general	masculine, feminine, neuter

# Minimal Pairs
#Type	Code	Pattern	Formatted Sample
Plural	one	{0} dan	<div class='cldr_example'><span class='cldr_substituted'>1</span> dan</div><div class='cldr_example'>❌  <span class='cldr_substituted'>5</span> dan</div>
Plural	two	{0} dneva	<div class='cldr_example'><span class='cldr_substituted'>2</span> dneva</div><div class='cldr_example'>❌  <span class='cldr_substituted'>5</span> dneva</div>
Plural	few	{0} dnevi	<div class='cldr_example'><span class='cldr_substituted'>3</span> dnevi</div><div class='cldr_example'>❌  <span class='cldr_substituted'>5</span> dnevi</div>
Plural	other	{0} dni	<div class='cldr_example'><span class='cldr_substituted'>5</span> dni</div><div class='cldr_example'>❌  <span class='cldr_substituted'>3</span> dni</div>
Case (for measurement units)	nominative	{0} je	<div class='cldr_example'><span class='cldr_substituted'>2 kvadratna metra</span> je</div><div class='cldr_example'>❌  <span class='cldr_substituted'>3 kvadratne metre</span> je</div>
Case (for measurement units)	accusative	čez {0}	<div class='cldr_example'>čez <span class='cldr_substituted'>3 kvadratne metre</span></div><div class='cldr_example'>❌  čez <span class='cldr_substituted'>1 kvadratnemu metru</span></div>
Case (for measurement units)	genitive	brez {0}	<div class='cldr_example'>brez <span class='cldr_substituted'>1 kvadratnega metra</span></div><div class='cldr_example'>❌  brez <span class='cldr_substituted'>3 kvadratne metre</span></div>
Case (for measurement units)	locative	po {0}	<div class='cldr_example'>po <span class='cldr_substituted'>1 kvadratnem metru</span></div><div class='cldr_example'>❌  po <span class='cldr_substituted'>3 kvadratne metre</span></div>
Case (for measurement units)	dative	kljub {0}	<div class='cldr_example'>kljub <span class='cldr_substituted'>1 kvadratnemu metru</span></div><div class='cldr_example'>❌  kljub <span class='cldr_substituted'>3 kvadratne metre</span></div>
Case (for measurement units)	instrumental	s/z {0}	<div class='cldr_example'>s/z <span class='cldr_substituted'>1 kvadratnim metrom</span></div><div class='cldr_example'>❌  s/z <span class='cldr_substituted'>3 kvadratne metre</span></div>
Gender (for measurement units)	masculine	On {0}	<div class='cldr_example'>On <span class='cldr_substituted'>dan</span></div><div class='cldr_example'>❌  On <span class='cldr_substituted'>ura</span></div>
Gender (for measurement units)	feminine	Ona {0}	<div class='cldr_example'>Ona <span class='cldr_substituted'>ura</span></div><div class='cldr_example'>❌  Ona <span class='cldr_substituted'>dan</span></div>
Gender (for measurement units)	neuter	Ono {0}	<div class='cldr_example'>Ono <span class='cldr_substituted'>leto</span></div><div class='cldr_example'>❌  Ono <span class='cldr_substituted'>ura</span></div>

# Unit Case and Gender Info
#Quantity	Unit	Gender	Gender MP + unit	Case	Pattern for one	Case MP + pattern with 101.0	Pattern for two	Case MP + pattern with 102.0	Pattern for few	Case MP + pattern with 4.0	Pattern for other	Case MP + pattern with 5.0
volume	cup-metric • ( = 25 cL)	feminine	Ona metrična skodelica	genitive	{0} metrične skodelice	brez 101 metrične skodelice	{0} metričnih skodelic	brez 102 metričnih skodelic	{0} metričnih skodelic	brez 4 metričnih skodelic	{0} metričnih skodelic	brez 5 metričnih skodelic
volume	cup-metric • ( = 25 cL)	feminine	Ona metrična skodelica	locative	{0} metrični skodelici	po 101 metrični skodelici	{0} metričnih skodelicah	po 102 metričnih skodelicah	{0} metričnih skodelicah	po 4 metričnih skodelicah	{0} metričnih skodelicah	po 5 metričnih skodelicah
volume	cup-metric • ( = 25 cL)	feminine	Ona metrična skodelica	dative	{0} metrični skodelici	kljub 101 metrični skodelici	{0} metričnima skodelicama	kljub 102 metričnima skodelicama	{0} metričnim skodelicam	kljub 4 metričnim skodelicam	{0} metričnim skodelicam	kljub 5 metričnim skodelicam
volume	cup-metric • ( = 25 cL)	feminine	Ona metrična skodelica	instrumental	{0} metrično skodelico	s/z 101 metrično skodelico	{0} metričnima skodelicama	s/z 102 metričnima skodelicama	{0} metričnimi skodelicami	s/z 4 metričnimi skodelicami	{0} metričnimi skodelicami	s/z 5 metričnimi skodelicami
volume	pint • ( = 47.3176473 cL)	n/a	n/a	nominative	{0} pinta	101 pinta je	{0} pinti	102 pinti je	{0} pinte	4 pinte je	{0} pint	5 pint je
volume	pint • ( = 47.3176473 cL)	n/a	n/a	accusative	{0} pinta	čez 101 pinta	{0} pinti	čez 102 pinti	{0} pinte	čez 4 pinte	{0} pint	čez 5 pint
volume	pint • ( = 47.3176473 cL)	n/a	n/a	genitive	{0} pinta	brez 101 pinta	{0} pinti	brez 102 pinti	{0} pinte	brez 4 pinte	{0} pint	brez 5 pint
volume	pint • ( = 47.3176473 cL)	n/a	n/a	locative	{0} pinta	po 101 pinta	{0} pinti	po 102 pinti	{0} pinte	po 4 pinte	{0} pint	po 5 pint
volume	pint • ( = 47.3176473 cL)	n/a	n/a	dative	{0} pinta	kljub 101 pinta	{0} pinti	kljub 102 pinti	{0} pinte	kljub 4 pinte	{0} pint	kljub 5 pint
volume	pint • ( = 47.3176473 cL)	n/a	n/a	instrumental	{0} pinta	s/z 101 pinta	{0} pinti	s/z 102 pinti	{0} pinte	s/z 4 pinte	{0} pint	s/z 5 pint
volume	pint-metric • ( = 50 cL)	feminine	Ona metrična pinta	nominative	{0} metrična pinta	101 metrična pinta je	{0} metrični pinti	102 metrični pinti je	{0} metrične pinte	4 metrične pinte je	{0} metričnih pint	5 metričnih pint je
volume	pint-metric • ( = 50 cL)	feminine	Ona metrična pinta	accusative	{0} metrična pinta	čez 101 metrična pinta	{0} metrični pinti	čez 102 metrični pinti	{0} metrične pinte	čez 4 metrične pinte	{0} metričnih pint	čez 5 metričnih pint
volume	pint-metric • ( = 50 cL)	feminine	Ona metrična pinta	genitive	{0} metrične pinte	brez 101 metrične pinte	{0} metričnih pint	brez 102 metričnih pint	{0} metričnih pint	brez 4 metričnih pint	{0} metričnih pint	brez 5 metričnih pint
volume	pint-metric • ( = 50 cL)	feminine	Ona metrična pinta	locative	{0} metrični pinti	po 101 metrični pinti	{0} metričnih pintah	po 102 metričnih pintah	{0} metričnih pintah	po 4 metričnih pintah	{0} metričnih pintah	po 5 metričnih pintah
volume	pint-metric • ( = 50 cL)	feminine	Ona metrična pinta	dative	{0} metrični pinti	kljub 101 metrični pinti	{0} metričnima pintama	kljub 102 metričnima pintama	{0} metričnim pintam	kljub 4 metričnim pintam	{0} metričnim pintam	kljub 5 metričnim pintam
volume	pint-metric • ( = 50 cL)	feminine	Ona metrična pinta	instrumental	{0} metrično pinto	s/z 101 metrično pinto	{0} metričnima pintama	s/z 102 metričnima pintama	{0} metričnimi pintami	s/z 4 metričnimi pintami	{0} metričnimi pintami	s/z 5 metričnimi pintami
volume	quart • ( = 0.946352946 L)	n/a	n/a	nominative	{0} četrtina	101 četrtina je	{0} četrtini	102 četrtini je	{0} četrtine	4 četrtine je	{0} četrtin	5 četrtin je
volume	quart • ( = 0.946352946 L)	n/a	n/a	accusative	{0} četrtina	čez 101 četrtina	{0} četrtini	čez 102 četrtini	{0} četrtine	čez 4 četrtine	{0} četrtin	čez 5 četrtin
volume	quart • ( = 0.946352946 L)	n/a	n/a	genitive	{0} četrtina	brez 101 četrtina	{0} četrtini	brez 102 četrtini	{0} četrtine	brez 4 četrtine	{0} četrtin	brez 5 četrtin
volume	quart • ( = 0.946352946 L)	n/a	n/a	locative	{0} četrtina	po 101 četrtina	{0} četrtini	po 102 četrtini	{0} četrtine	po 4 četrtine	{0} četrtin	po 5 četrtin
volume	quart • ( = 0.946352946 L)	n/a	n/a	dative	{0} četrtina	kljub 101 četrtina	{0} četrtini	kljub 102 četrtini	{0} četrtine	kljub 4 četrtine	{0} četrtin	kljub 5 četrtin
volume	quart • ( = 0.946352946 L)	n/a	n/a	instrumental	{0} četrtina	s/z 101 četrtina	{0} četrtini	s/z 102 četrtini	{0} četrtine	s/z 4 četrtine	{0} četrtin	s/z 5 četrtin
volume	liters	masculine	On liter	nominative	{0} liter	101 liter je	{0} litra	102 litra je	{0} litri	4 litri je	{0} litrov	5 litrov je
volume	liters	masculine	On liter	accusative	{0} liter	čez 101 liter	{0} litra	čez 102 litra	{0} litre	čez 4 litre	{0} litrov	čez 5 litrov
volume	liters	masculine	On liter	genitive	{0} litra	brez 101 litra	{0} litrov	brez 102 litrov	{0} litrov	brez 4 litrov	{0} litrov	brez 5 litrov
volume	liters	masculine	On liter	locative	{0} litru	po 101 litru	{0} litrih	po 102 litrih	{0} litrih	po 4 litrih	{0} litrih	po 5 litrih
volume	liters	masculine	On liter	dative	{0} litru	kljub 101 litru	{0} litroma	kljub 102 litroma	{0} litrom	kljub 4 litrom	{0} litrom	kljub 5 litrom
volume	liters	masculine	On liter	instrumental	{0} litrom	s/z 101 litrom	{0} litroma	s/z 102 litroma	{0} litri	s/z 4 litri	{0} litri	s/z 5 litri
volume	quart-imperial • ( = 1.1365225 L)	n/a	n/a	nominative	{0} imp. kvart	101 imp. kvart je	{0} imp. kvarta	102 imp. kvarta je	{0} imp. kvarti	4 imp. kvarti je	{0} imp. kvartov	5 imp. kvartov je
volume	quart-imperial • ( = 1.1365225 L)	n/a	n/a	accusative	{0} imp. kvart	čez 101 imp. kvart	{0} imp. kvarta	čez 102 imp. kvarta	{0} imp. kvarti	čez 4 imp. kvarti	{0} imp. kvartov	čez 5 imp. kvartov
volume	quart-imperial • ( = 1.1365225 L)	n/a	n/a	genitive	{0} imp. kvart	brez 101 imp. kvart	{0} imp. kvarta	brez 102 imp. kvarta	{0} imp. kvarti	brez 4 imp. kvarti	{0} imp. kvartov	brez 5 imp. kvartov
volume	quart-imperial • ( = 1.1365225 L)	n/a	n/a	locative	{0} imp. kvart	po 101 imp. kvart	{0} imp. kvarta	po 102 imp. kvarta	{0} imp. kvarti	po 4 imp. kvarti	{0} imp. kvartov	po 5 imp. kvartov
volume	quart-imperial • ( = 1.1365225 L)	n/a	n/a	dative	{0} imp. kvart	kljub 101 imp. kvart	{0} imp. kvarta	kljub 102 imp. kvarta	{0} imp. kvarti	kljub 4 imp. kvarti	{0} imp. kvartov	kljub 5 imp. kvartov
volume	quart-imperial • ( = 1.1365225 L)	n/a	n/a	instrumental	{0} imp. kvart	s/z 101 imp. kvart	{0} imp. kvarta	s/z 102 imp. kvarta	{0} imp. kvarti	s/z 4 imp. kvarti	{0} imp. kvartov	s/z 5 imp. kvartov
volume	gallon • ( = 3.785411784 L)	n/a	n/a	nominative	{0} galona	101 galona je	{0} galoni	102 galoni je	{0} galone	4 galone je	{0} galon	5 galon je
volume	gallon • ( = 3.785411784 L)	n/a	n/a	accusative	{0} galona	čez 101 galona	{0} galoni	čez 102 galoni	{0} galone	čez 4 galone	{0} galon	čez 5 galon
volume	gallon • ( = 3.785411784 L)	n/a	n/a	genitive	{0} galona	brez 101 galona	{0} galoni	brez 102 galoni	{0} galone	brez 4 galone	{0} galon	brez 5 galon
volume	gallon • ( = 3.785411784 L)	n/a	n/a	locative	{0} galona	po 101 galona	{0} galoni	po 102 galoni	{0} galone	po 4 galone	{0} galon	po 5 galon
volume	gallon • ( = 3.785411784 L)	n/a	n/a	dative	{0} galona	kljub 101 galona	{0} galoni	kljub 102 galoni	{0} galone	kljub 4 galone	{0} galon	kljub 5 galon
volume	gallon • ( = 3.785411784 L)	n/a	n/a	instrumental	{0} galona	s/z 101 galona	{0} galoni	s/z 102 galoni	{0} galone	s/z 4 galone	{0} galon	s/z 5 galon
volume	gallon-imperial • ( = 4.54609 L)	n/a	n/a	nominative	{0} imperialna galona	101 imperialna galona je	{0} imperialni galoni	102 imperialni galoni je	{0} imperialne galone	4 imperialne galone je	{0} imperialnih galon	5 imperialnih galon je
volume	gallon-imperial • ( = 4.54609 L)	n/a	n/a	accusative	{0} imperialna galona	čez 101 imperialna galona	{0} imperialni galoni	čez 102 imperialni galoni	{0} imperialne galone	čez 4 imperialne galone	{0} imperialnih galon	čez 5 imperialnih galon
volume	gallon-imperial • ( = 4.54609 L)	n/a	n/a	genitive	{0} imperialna galona	brez 101 imperialna galona	{0} imperialni galoni	brez 102 imperialni galoni	{0} imperialne galone	brez 4 imperialne galone	{0} imperialnih galon	brez 5 imperialnih galon
volume	gallon-imperial • ( = 4.54609 L)	n/a	n/a	locative	{0} imperialna galona	po 101 imperialna galona	{0} imperialni galoni	po 102 imperialni galoni	{0} imperialne galone	po 4 imperialne galone	{0} imperialnih galon	po 5 imperialnih galon
volume	gallon-imperial • ( = 4.54609 L)	n/a	n/a	dative	{0} imperialna galona	kljub 101 imperialna galona	{0} imperialni galoni	kljub 102 imperialni galoni	{0} imperialne galone	kljub 4 imperialne galone	{0} imperialnih galon	kljub 5 imperialnih galon
volume	gallon-imperial • ( = 4.54609 L)	n/a	n/a	instrumental	{0} imperialna galona	s/z 101 imperialna galona	{0} imperialni galoni	s/z 102 imperialni galoni	{0} imperialne galone	s/z 4 imperialne galone	{0} imperialnih galon	s/z 5 imperialnih galon
volume	cubic-foot • ( = 28.316846592 L)	n/a	n/a	nominative	{0} kubični čevelj	101 kubični čevelj je	{0} kubična čevlja	102 kubična čevlja je	{0} kubični čevlji	4 kubični čevlji je	{0} kubičnih čevljev	5 kubičnih čevljev je
volume	cubic-foot • ( = 28.316846592 L)	n/a	n/a	accusative	{0} kubični čevelj	čez 101 kubični čevelj	{0} kubična čevlja	čez 102 kubična čevlja	{0} kubični čevlji	čez 4 kubični čevlji	{0} kubičnih čevljev	čez 5 kubičnih čevljev
volume	cubic-foot • ( = 28.316846592 L)	n/a	n/a	genitive	{0} kubični čevelj	brez 101 kubični čevelj	{0} kubična čevlja	brez 102 kubična čevlja	{0} kubični čevlji	brez 4 kubični čevlji	{0} kubičnih čevljev	brez 5 kubičnih čevljev
volume	cubic-foot • ( = 28.316846592 L)	n/a	n/a	locative	{0} kubični čevelj	po 101 kubični čevelj	{0} kubična čevlja	po 102 kubična čevlja	{0} kubični čevlji	po 4 kubični čevlji	{0} kubičnih čevljev	po 5 kubičnih čevljev
volume	cubic-foot • ( = 28.316846592 L)	n/a	n/a	dative	{0} kubični čevelj	kljub 101 kubični čevelj	{0} kubična čevlja	kljub 102 kubična čevlja	{0} kubični čevlji	kljub 4 kubični čevlji	{0} kubičnih čevljev	kljub 5 kubičnih čevljev
volume	cubic-foot • ( = 28.316846592 L)	n/a	n/a	instrumental	{0} kubični čevelj	s/z 101 kubični čevelj	{0} kubična čevlja	s/z 102 kubična čevlja	{0} kubični čevlji	s/z 4 kubični čevlji	{0} kubičnih čevljev	s/z 5 kubičnih čevljev
volume	bushel • ( = 35.23907016688 L)	n/a	n/a	nominative	{0} bušel	101 bušel je	{0} bušla	102 bušla je	{0} bušli	4 bušli je	{0} bušlov	5 bušlov je
volume	bushel • ( = 35.23907016688 L)	n/a	n/a	accusative	{0} bušel	čez 101 bušel	{0} bušla	čez 102 bušla	{0} bušli	čez 4 bušli	{0} bušlov	čez 5 bušlov
volume	bushel • ( = 35.23907016688 L)	n/a	n/a	genitive	{0} bušel	brez 101 bušel	{0} bušla	brez 102 bušla	{0} bušli	brez 4 bušli	{0} bušlov	brez 5 bušlov
volume	bushel • ( = 35.23907016688 L)	n/a	n/a	locative	{0} bušel	po 101 bušel	{0} bušla	po 102 bušla	{0} bušli	po 4 bušli	{0} bušlov	po 5 bušlov
volume	bushel • ( = 35.23907016688 L)	n/a	n/a	dative	{0} bušel	kljub 101 bušel	{0} bušla	kljub 102 bušla	{0} bušli	kljub 4 bušli	{0} bušlov	kljub 5 bušlov
volume	bushel • ( = 35.23907016688 L)	n/a	n/a	instrumental	{0} bušel	s/z 101 bušel	{0} bušla	s/z 102 bušla	{0} bušli	s/z 4 bušli	{0} bušlov	s/z 5 bušlov
volume	hectoliters	masculine	On hektoliter	nominative	{0} hektoliter	101 hektoliter je	{0} hektolitra	102 hektolitra je	{0} hektolitri	4 hektolitri je	{0} hektolitrov	5 hektolitrov je
volume	hectoliters	masculine	On hektoliter	accusative	{0} hektoliter	čez 101 hektoliter	{0} hektolitra	čez 102 hektolitra	{0} hektolitre	čez 4 hektolitre	{0} hektolitrov	čez 5 hektolitrov
volume	hectoliters	masculine	On hektoliter	genitive	{0} hektolitra	brez 101 hektolitra	{0} hektolitrov	brez 102 hektolitrov	{0} hektolitrov	brez 4 hektolitrov	{0} hektolitrov	brez 5 hektolitrov
volume	hectoliters	masculine	On hektoliter	locative	{0} hektolitru	po 101 hektolitru	{0} hektolitrih	po 102 hektolitrih	{0} hektolitrih	po 4 hektolitrih	{0} hektolitrih	po 5 hektolitrih
volume	hectoliters	masculine	On hektoliter	dative	{0} hektolitru	kljub 101 hektolitru	{0} hektolitrima	kljub 102 hektolitrima	{0} hektolitrom	kljub 4 hektolitrom	{0} hektolitrom	kljub 5 hektolitrom
volume	hectoliters	masculine	On hektoliter	instrumental	{0} hektolitrom	s/z 101 hektolitrom	{0} hektolitroma	s/z 102 hektolitroma	{0} hektolitri	s/z 4 hektolitri	{0} hektolitri	s/z 5 hektolitri
volume	barrel • ( = 1.58987294928 hL)	n/a	n/a	nominative	{0} sodček	101 sodček je	{0} sodčka	102 sodčka je	{0} sodčki	4 sodčki je	{0} sodčkov	5 sodčkov je
volume	barrel • ( = 1.58987294928 hL)	n/a	n/a	accusative	{0} sodček	čez 101 sodček	{0} sodčka	čez 102 sodčka	{0} sodčki	čez 4 sodčki	{0} sodčkov	čez 5 sodčkov
volume	barrel • ( = 1.58987294928 hL)	n/a	n/a	genitive	{0} sodček	brez 101 sodček	{0} sodčka	brez 102 sodčka	{0} sodčki	brez 4 sodčki	{0} sodčkov	brez 5 sodčkov
volume	barrel • ( = 1.58987294928 hL)	n/a	n/a	locative	{0} sodček	po 101 sodček	{0} sodčka	po 102 sodčka	{0} sodčki	po 4 sodčki	{0} sodčkov	po 5 sodčkov
volume	barrel • ( = 1.58987294928 hL)	n/a	n/a	dative	{0} sodček	kljub 101 sodček	{0} sodčka	kljub 102 sodčka	{0} sodčki	kljub 4 sodčki	{0} sodčkov	kljub 5 sodčkov
volume	barrel • ( = 1.58987294928 hL)	n/a	n/a	instrumental	{0} sodček	s/z 101 sodček	{0} sodčka	s/z 102 sodčka	{0} sodčki	s/z 4 sodčki	{0} sodčkov	s/z 5 sodčkov
volume	cubic-yard • ( = 0.764554857984 m³)	n/a	n/a	nominative	{0} kubični jard	101 kubični jard je	{0} kubična jarda	102 kubična jarda je	{0} kubični jardi	4 kubični jardi je	{0} kubičnih jardov	5 kubičnih jardov je
volume	cubic-yard • ( = 0.764554857984 m³)	n/a	n/a	accusative	{0} kubični jard	čez 101 kubični jard	{0} kubična jarda	čez 102 kubična jarda	{0} kubični jardi	čez 4 kubični jardi	{0} kubičnih jardov	čez 5 kubičnih jardov
volume	cubic-yard • ( = 0.764554857984 m³)	n/a	n/a	genitive	{0} kubični jard	brez 101 kubični jard	{0} kubična jarda	brez 102 kubična jarda	{0} kubični jardi	brez 4 kubični jardi	{0} kubičnih jardov	brez 5 kubičnih jardov
volume	cubic-yard • ( = 0.764554857984 m³)	n/a	n/a	locative	{0} kubični jard	po 101 kubični jard	{0} kubična jarda	po 102 kubična jarda	{0} kubični jardi	po 4 kubični jardi	{0} kubičnih jardov	po 5 kubičnih jardov
volume	cubic-yard • ( = 0.764554857984 m³)	n/a	n/a	dative	{0} kubični jard	kljub 101 kubični jard	{0} kubična jarda	kljub 102 kubična jarda	{0} kubični jardi	kljub 4 kubični jardi	{0} kubičnih jardov	kljub 5 kubičnih jardov
volume	cubic-yard • ( = 0.764554857984 m³)	n/a	n/a	instrumental	{0} kubični jard	s/z 101 kubični jard	{0} kubična jarda	s/z 102 kubična jarda	{0} kubični jardi	s/z 4 kubični jardi	{0} kubičnih jardov	s/z 5 kubičnih jardov
volume	cubic meters	masculine	On kubični meter	nominative	{0} kubični meter	101 kubični meter je	{0} kubična metra	102 kubična metra je	{0} kubični metri	4 kubični metri je	{0} kubičnih metrov	5 kubičnih metrov je
volume	cubic meters	masculine	On kubični meter	accusative	{0} kubični meter	čez 101 kubični meter	{0} kubična metra	čez 102 kubična metra	{0} kubične metre	čez 4 kubične metre	{0} kubičnih metrov	čez 5 kubičnih metrov
volume	cubic meters	masculine	On kubični meter	genitive	{0} kubičnega metra	brez 101 kubičnega metra	{0} kubičnih metrov	brez 102 kubičnih metrov	{0} kubičnih metrov	brez 4 kubičnih metrov	{0} kubičnih metrov	brez 5 kubičnih metrov
volume	cubic meters	masculine	On kubični meter	locative	{0} kubičnem metru	po 101 kubičnem metru	{0} kubičnih metrih	po 102 kubičnih metrih	{0} kubičnih metrih	po 4 kubičnih metrih	{0} kubičnih metrih	po 5 kubičnih metrih
volume	cubic meters	masculine	On kubični meter	dative	{0} kubičnemu metru	kljub 101 kubičnemu metru	{0} kubičnima metroma	kljub 102 kubičnima metroma	{0} kubičnim metrom	kljub 4 kubičnim metrom	{0} kubičnim metrom	kljub 5 kubičnim metrom
volume	cubic meters	masculine	On kubični meter	instrumental	{0} kubičnim metrom	s/z 101 kubičnim metrom	{0} kubičnima metroma	s/z 102 kubičnima metroma	{0} kubičnimi metri	s/z 4 kubičnimi metri	{0} kubičnimi metri	s/z 5 kubičnimi metri
volume	megaliters	masculine	On megaliter	nominative	{0} megaliter	101 megaliter je	{0} megalitra	102 megalitra je	{0} megalitri	4 megalitri je	{0} megalitrov	5 megalitrov je
volume	megaliters	masculine	On megaliter	accusative	{0} megaliter	čez 101 megaliter	{0} megalitra	čez 102 megalitra	{0} megalitre	čez 4 megalitre	{0} megalitrov	čez 5 megalitrov
volume	megaliters	masculine	On megaliter	genitive	{0} megalitra	brez 101 megalitra	{0} megalitrov	brez 102 megalitrov	{0} megalitrov	brez 4 megalitrov	{0} megalitrov	brez 5 megalitrov
volume	megaliters	masculine	On megaliter	locative	{0} megalitru	po 101 megalitru	{0} megalitrih	po 102 megalitrih	{0} megalitrih	po 4 megalitrih	{0} megalitrih	po 5 megalitrih
volume	megaliters	masculine	On megaliter	dative	{0} megalitru	kljub 101 megalitru	{0} megalitroma	kljub 102 megalitroma	{0} megalitrom	kljub 4 megalitrom	{0} megalitrom	kljub 5 megalitrom
volume	megaliters	masculine	On megaliter	instrumental	{0} megalitrom	s/z 101 megalitrom	{0} megalitroma	s/z 102 megalitroma	{0} megalitri	s/z 4 megalitri	{0} megalitri	s/z 5 megalitri
volume	acre-foot • ( = 1.23348183754752 ML)	n/a	n/a	nominative	{0} aker-čevelj	101 aker-čevelj je	{0} aker-čevlja	102 aker-čevlja je	{0} aker-čevlji	4 aker-čevlji je	{0} aker-čevljev	5 aker-čevljev je
volume	acre-foot • ( = 1.23348183754752 ML)	n/a	n/a	accusative	{0} aker-čevelj	čez 101 aker-čevelj	{0} aker-čevlja	čez 102 aker-čevlja	{0} aker-čevlji	čez 4 aker-čevlji	{0} aker-čevljev	čez 5 aker-čevljev
volume	acre-foot • ( = 1.23348183754752 ML)	n/a	n/a	genitive	{0} aker-čevelj	brez 101 aker-čevelj	{0} aker-čevlja	brez 102 aker-čevlja	{0} aker-čevlji	brez 4 aker-čevlji	{0} aker-čevljev	brez 5 aker-čevljev
volume	acre-foot • ( = 1.23348183754752 ML)	n/a	n/a	locative	{0} aker-čevelj	po 101 aker-čevelj	{0} aker-čevlja	po 102 aker-čevlja	{0} aker-čevlji	po 4 aker-čevlji	{0} aker-čevljev	po 5 aker-čevljev
volume	acre-foot • ( = 1.23348183754752 ML)	n/a	n/a	dative	{0} aker-čevelj	kljub 101 aker-čevelj	{0} aker-čevlja	kljub 102 aker-čevlja	{0} aker-čevlji	kljub 4 aker-čevlji	{0} aker-čevljev	kljub 5 aker-čevljev
volume	acre-foot • ( = 1.23348183754752 ML)	n/a	n/a	instrumental	{0} aker-čevelj	s/z 101 aker-čevelj	{0} aker-čevlja	s/z 102 aker-čevlja	{0} aker-čevlji	s/z 4 aker-čevlji	{0} aker-čevljev	s/z 5 aker-čevljev
volume	cubic kilometers	masculine	On kubični kilometer	nominative	{0} kubični kilometer	101 kubični kilometer je	{0} kubična kilometra	102 kubična kilometra je	{0} kubični kilometri	4 kubični kilometri je	{0} kubičnih kilometrov	5 kubičnih kilometrov je
volume	cubic kilometers	masculine	On kubični kilometer	accusative	{0} kubični kilometer	čez 101 kubični kilometer	{0} kubična kilometra	čez 102 kubična kilometra	{0} kubične kilometre	čez 4 kubične kilometre	{0} kubičnih kilometrov	čez 5 kubičnih kilometrov
volume	cubic kilometers	masculine	On kubični kilometer	genitive	{0} kubičnega kilometra	brez 101 kubičnega kilometra	{0} kubičnih kilometrov	brez 102 kubičnih kilometrov	{0} kubičnih kilometrov	brez 4 kubičnih kilometrov	{0} kubičnih kilometrov	brez 5 kubičnih kilometrov
volume	cubic kilometers	masculine	On kubični kilometer	locative	{0} kubičnem kilometru	po 101 kubičnem kilometru	{0} kubičnih kilometrih	po 102 kubičnih kilometrih	{0} kubičnih kilometrih	po 4 kubičnih kilometrih	{0} kubičnih kilometrih	po 5 kubičnih kilometrih
volume	cubic kilometers	masculine	On kubični kilometer	dative	{0} kubičnemu kilometru	kljub 101 kubičnemu kilometru	{0} kubičnima kilometroma	kljub 102 kubičnima kilometroma	{0} kubičnim kilometrom	kljub 4 kubičnim kilometrom	{0} kubičnim kilometrom	kljub 5 kubičnim kilometrom
volume	cubic kilometers	masculine	On kubični kilometer	instrumental	{0} kubičnim kilometrom	s/z 101 kubičnim kilometrom	{0} kubičnima kilometroma	s/z 102 kubičnima kilometroma	{0} kubičnimi kilometri	s/z 4 kubičnimi kilometri	{0} kubičnimi kilometri	s/z 5 kubičnimi kilometri
volume	cubic-mile • ( = 4.168181825440579584 km³)	n/a	n/a	nominative	{0} kubična milja	101 kubična milja je	{0} kubični milji	102 kubični milji je	{0} kubične milje	4 kubične milje je	{0} kubičnih milj	5 kubičnih milj je
volume	cubic-mile • ( = 4.168181825440579584 km³)	n/a	n/a	accusative	{0} kubična milja	čez 101 kubična milja	{0} kubični milji	čez 102 kubični milji	{0} kubične milje	čez 4 kubične milje	{0} kubičnih milj	čez 5 kubičnih milj
volume	cubic-mile • ( = 4.168181825440579584 km³)	n/a	n/a	genitive	{0} kubična milja	brez 101 kubična milja	{0} kubični milji	brez 102 kubični milji	{0} kubične milje	brez 4 kubične milje	{0} kubičnih milj	brez 5 kubičnih milj
volume	cubic-mile • ( = 4.168181825440579584 km³)	n/a	n/a	locative	{0} kubična milja	po 101 kubična milja	{0} kubični milji	po 102 kubični milji	{0} kubične milje	po 4 kubične milje	{0} kubičnih milj	po 5 kubičnih milj
volume	cubic-mile • ( = 4.168181825440579584 km³)	n/a	n/a	dative	{0} kubična milja	kljub 101 kubična milja	{0} kubični milji	kljub 102 kubični milji	{0} kubične milje	kljub 4 kubične milje	{0} kubičnih milj	kljub 5 kubičnih milj
volume	cubic-mile • ( = 4.168181825440579584 km³)	n/a	n/a	instrumental	{0} kubična milja	s/z 101 kubična milja	{0} kubični milji	s/z 102 kubični milji	{0} kubične milje	s/z 4 kubične milje	{0} kubičnih milj	s/z 5 kubičnih milj
year-duration	month • ( = 0.08˙3 yrs)	masculine	On mesec	nominative	{0} mesec	101 mesec je	{0} meseca	102 meseca je	{0} meseci	4 meseci je	{0} mesecev	5 mesecev je
